"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LLC_BI__Collateral_Type__c","LLC_BI__Is_Default__c","LLC_BI__Product__c","LLC_BI__lookupKey__c","LLC_BI__Automate_Collateral_Pledge__c","LLC_BI__Valuation_Providers__c","LLC_BI__Filter_In_Branch_Collateral__c","LLC_BI__Filter_In_Branch_Leased_Asset__c","LLC_BI__Enabled_Experiences__c","nPortal__Is_Portal_Enabled__c"
"a41bn0000004eRtAAI","005bn000003k2JdAAI","","PCT-00000000","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","","","a1xbn000001eQKzAAM","false","a0ubn000004ktIcAAI","42934236837933053","false","","false","false","","true"
"a41bn0000004eRuAAI","005bn000003k2JdAAI","","PCT-00000001","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","","","a1xbn000001eQL0AAM","false","a0ubn000004ktIdAAI","42080064210953874","false","","false","false","","true"
"a41bn0000004eRvAAI","005bn000003k2JdAAI","","PCT-00000002","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","","","a1xbn000001eQL3AAM","false","a0ubn000004ktIdAAI","42769340570301526","false","","false","false","","true"
"a41bn0000004eRwAAI","005bn000003k2JdAAI","","PCT-00000003","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","","","a1xbn000001eQL4AAM","false","a0ubn000004ktIdAAI","42446717035563040","false","","false","false","","true"
"a41bn0000004eRxAAI","005bn000003k2JdAAI","","PCT-00000004","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","","","a1xbn000001eQLKAA2","false","a0ubn000004ktIdAAI","42740069098375523","false","","false","false","","true"
"a41bn0000004eRyAAI","005bn000003k2JdAAI","","PCT-00000005","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","","","a1xbn000001eQL5AAM","false","a0ubn000004ktIdAAI","42521698846750838","false","","false","false","","true"
"a41bn0000004eRzAAI","005bn000003k2JdAAI","","PCT-00000006","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","","","a1xbn000001eQL7AAM","false","a0ubn000004ktIdAAI","42495165643102811","false","","false","false","","true"
"a41bn0000004eS0AAI","005bn000003k2JdAAI","","PCT-00000007","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","","","a1xbn000001eQLLAA2","false","a0ubn000004ktIdAAI","42082128476127682","false","","false","false","","true"
"a41bn0000004eS1AAI","005bn000003k2JdAAI","","PCT-00000008","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","","","a1xbn000001eQL8AAM","false","a0ubn000004ktIYAAY","42395615082121958","false","","false","false","","true"
"a41bn0000004eS2AAI","005bn000003k2JdAAI","","PCT-00000009","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","","","a1xbn000001eQLTAA2","false","a0ubn000004ktIYAAY","42493838306586662","false","","false","false","","true"
"a41bn0000004eS3AAI","005bn000003k2JdAAI","","PCT-00000010","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","","","a1xbn000001eQLYAA2","false","a0ubn000004ktIYAAY","42082224992716307","false","","false","false","","true"
"a41bn0000004eS4AAI","005bn000003k2JdAAI","","PCT-00000011","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","","","a1xbn000001eQLaAAM","false","a0ubn000004ktIYAAY","42751680411984640","false","","false","false","","true"
"a41bn0000004eS5AAI","005bn000003k2JdAAI","","PCT-00000012","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","","","a1xbn000001eQL4AAM","false","a0ubn000004ktIeAAI","42067453078286121","false","","false","false","","true"
"a41bn0000004eS6AAI","005bn000003k2JdAAI","","PCT-00000013","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","","","a1xbn000001eQLKAA2","false","a0ubn000004ktIeAAI","42330343645059870","false","","false","false","","true"
"a41bn0000004eS7AAI","005bn000003k2JdAAI","","PCT-00000014","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","","","a1xbn000001eQL5AAM","false","a0ubn000004ktIeAAI","42961656754603237","false","","false","false","","true"
"a41bn0000004eS8AAI","005bn000003k2JdAAI","","PCT-00000015","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","","","a1xbn000001eQL7AAM","false","a0ubn000004ktIeAAI","42830253017540857","false","","false","false","","true"
"a41bn0000004eS9AAI","005bn000003k2JdAAI","","PCT-00000016","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","2024-08-13T17:51:35.000Z","005bn000003k2JdAAI","","","a1xbn000001eQLLAA2","false","a0ubn000004ktIcAAI","42479331933660465","false","","false","false","","true"
