"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LLC_BI__Usage_Type__c","LLC_BI__configKey__c","LLC_BI__lookupKey__c","LLC_BI__Product_Count__c","LLC_BI__Is_Deposit__c","LLC_BI__Is_Loan__c","LLC_BI__Product_State_Booked_Config_Count__c","LLC_BI__Product_State_Closed_Config_Count__c","LLC_BI__Product_State_Excluded_Config_Count__c","LLC_BI__Product_State_Rdy_To_Trans_Confg_Cnt__c","LLC_BI__Category__c","LLC_BI__Default_Collateral_Type__c","LLC_BI__Default_App__c","LLC_BI__Offer_Fieldset__c","LLC_BI__Is_Mortgage_Insurance_Estimate_Required__c","LLC_BI__Enable_Offers_Auto_Applied_Fees__c","nPortal__Online_Application_Enabled__c","nPortal__Online_Application_Group__c","LLC_BI__Interest_Accrual_Method__c","LLC_BI__Maintenance_App__c","LLC_BI__Start_Production_Application__c","LLC_BI__Collapsed_Offer_Card_Field_Set__c","LLC_BI__Expanded_Offer_Card_Field_Set__c","LLC_BI__Loan_Information_Field_Set__c","LLC_BI__Recalculate_Offers_Field_Set__c","LLC_BI__Reference_Image__c","nPortal__Online_Application_Header_Text__c","nPortal__Online_Application_Subheader_Text__c","nRetail__Display_Monthly_Expenses__c","cm_Days_to_Close__c","cm_Static_Name__c"
"a0tbn000008H0TeAAK","","Small Business Non-Real Estate","2024-08-13T17:50:58.000Z","005bn000003k2JdAAI","2024-08-13T17:51:18.000Z","005bn000003k2JdAAI","","Loan","KY_PT_00004208","PT-NonReal0872933","","","","","","","","","","","SB_Collapsed_Offer_Card_Summary_cm","false","false","false","","","","session-redirect","SBL_Collapsed_Offer_Card_Summary","SBL_Expanded_Offer_Card_Summary","","SBL_Recalculate_Offers","","","","false","","Small Business Non-Real Estate"
"a0tbn000008H0TfAAK","","Small Business Real Estate","2024-08-13T17:50:58.000Z","005bn000003k2JdAAI","2024-08-13T17:51:18.000Z","005bn000003k2JdAAI","","Loan","KY_PT_00004209","PT-RealEst0789302","","","","","","","","","","","","false","false","false","","","","session-redirect","SBL_Collapsed_Offer_Card_Summary","SBL_Expanded_Offer_Card_Summary","","SBL_Recalculate_Offers","","","","false","","Small Business Real Estate"
