"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","nFORCE__Disable_Print__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","nFORCE__Disable_Read_Only_View__c","nPortal__Add_Multi_Record_Display_Icon__c","nPortal__Maximum_Number_of_Records__c","nPortal__Minimum_Number_of_Records__c","nPortal__OA_Review_Multiple_Record_Entry_Label__c"
"a2Gbn000000hcc0EAA","005bn000003k2JdAAI","","Collateral-Real Estate","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","","","","","false","true","42875581032868363","false","","","",""
"a2Gbn000000hcc1EAA","005bn000003k2JdAAI","","Collateral-Titled-Motor Vehicle","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","","","","","false","true","42913737407936953","false","","","",""
"a2Gbn000000hcc2EAA","005bn000003k2JdAAI","","Collateral-Titled-Mobile Home","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","","","","","false","true","42461395767237886","false","","","",""
"a2Gbn000000hcc3EAA","005bn000003k2JdAAI","","Default Pledged Leased Asset Edit Screen","2024-08-06T15:25:26.000Z","005bn000003kBWfAAM","2024-08-13T17:49:56.000Z","005bn000003k2JdAAI","","","","","false","true","42524349854296463","false","","","",""
"a2Gbn000000hcc4EAA","005bn000003k2JdAAI","","Collateral-Titled-Pleasure Boat","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","","","","","false","true","42703575356168779","false","","","",""
"a2Gbn000000hcc5EAA","005bn000003k2JdAAI","","Collateral-Titled-Ship","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","","","","","false","true","42437151313046644","false","","","",""
"a2Gbn000000hcc6EAA","005bn000003k2JdAAI","","Collateral-Titled-Aircraft","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","","","","","false","true","42581909766045101","false","","","",""
"a2Gbn000000hcc7EAA","005bn000003k2JdAAI","","Collateral-Titled-Trailer","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","","","","","false","true","42860084203432194","false","","","",""
"a2Gbn000000hcc8EAA","005bn000003k2JdAAI","","Collateral-Titled","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","","","","","false","true","42229309426024690","false","","","",""
"a2Gbn000000hcc9EAA","005bn000003k2JdAAI","","Collateral-Possessory-Savings/CDs","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","","","","","false","true","42440767386795598","false","","","",""
"a2Gbn000000hccAEAQ","005bn000003k2JdAAI","","Collateral-Possessory-Securities","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","","","","","false","true","42653954664465365","false","","","",""
"a2Gbn000000hccBEAQ","005bn000003k2JdAAI","","Collateral-Possessory-Note/Instrument","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","","","","","false","true","42012862423685131","false","","","",""
"a2Gbn000000hccCEAQ","005bn000003k2JdAAI","","Collateral-Possessory-Other Possessory","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","","","","","false","true","42868736103271902","false","","","",""
"a2Gbn000000hccDEAQ","005bn000003k2JdAAI","","Collateral-Possessory-Letter of Credit","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","","","","","false","true","42254692718045368","false","","","",""
"a2Gbn000000hccEEAQ","005bn000003k2JdAAI","","Collateral-Possessory-Life Insurance","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","2024-08-06T15:25:26.000Z","005bn000003k2JdAAI","","","","","false","true","42401059851966033","false","","","",""
