"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Generator_Class__c","nFORCE__lookupKey__c","nFORCE__Category__c","nFORCE__Layout_Description__c","nFORCE__Layout_Preview_Image__c","nFORCE__Visualforce_Page__c","AutorabitExtId__c"
"a2C780000003LydEAE","0058c00000BxeO9AAJ","false","NoLayout","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.NoLayout","42750215167293706","","","","",""
"a2C780000003LyeEAE","0058c00000BxeO9AAJ","false","NoLayout","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.NoLayout","42781659256906018","","","","",""
"a2C780000003LyfEAE","0058c00000BxeO9AAJ","false","NoLayout","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.NoLayout","72061562008947708","","","","",""
"a2C780000003LygEAE","0058c00000BxeO9AAJ","false","TwoColumnGrid","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.TwoColumnGrid","53551562008947708","","","","",""
"a2C780000003LyhEAE","0058c00000BxeO9AAJ","false","TwoColumnGrid","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.TwoColumnGrid","42036523911362091","","","","",""
"a2C780000003LyiEAE","0058c00000BxeO9AAJ","false","TableLayout","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.TableLayout","87851567002572493","","","","",""
"a2C780000003LyjEAE","0058c00000BxeO9AAJ","false","TableLayout","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.TableLayout","80081567002572493","","","","",""
"a2C780000003LykEAE","0058c00000BxeO9AAJ","false","TableLayout","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.TableLayout","16941567002572494","","","","",""
"a2C780000003LylEAE","0058c00000BxeO9AAJ","false","NoLayout","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.NoLayout","42459547103480938","","","","",""
"a2C780000003LymEAE","0058c00000BxeO9AAJ","false","NoLayout","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.NoLayout","42281917907252354","","","","",""
"a2C780000003LynEAE","0058c00000BxeO9AAJ","false","TwoColumnGrid","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.TwoColumnGrid","42418177285209227","","","","",""
"a2C780000003LyoEAE","0058c00000BxeO9AAJ","false","TwoColumnGrid","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.TwoColumnGrid","42666605161288911","","","","",""
"a2C780000003LypEAE","0058c00000BxeO9AAJ","false","TwoColumnGrid","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.TwoColumnGrid","42320768730763850","","","","",""
"a2C780000003LyqEAE","0058c00000BxeO9AAJ","false","TableLayout","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.TableLayout","42914029967103415","","","","",""
"a2C780000003LyrEAE","0058c00000BxeO9AAJ","false","TableLayout","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.TableLayout","42008310052836603","","","","",""
"a2C780000003LysEAE","0058c00000BxeO9AAJ","false","TwoColumnGrid","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.TwoColumnGrid","42771303619685748","","","","",""
"a2C780000003LytEAE","0058c00000BxeO9AAJ","false","NoLayout","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.NoLayout","42908910678340000","","","","",""
"a2C780000003LyuEAE","0058c00000BxeO9AAJ","false","TableLayout","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.TableLayout","423805189214134860","","","","",""
"a2C780000003LyvEAE","0058c00000BxeO9AAJ","false","TableLayout","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.TableLayout","423805189214134861","","","","",""
"a2C780000003LywEAE","0058c00000BxeO9AAJ","false","TableLayout","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.TableLayout","423805189214134862","","","","",""
"a2C780000003LyxEAE","0058c00000BxeO9AAJ","false","TwoColumnGrid","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.TwoColumnGrid","42236575597281130","","","","",""
"a2C780000003LyyEAE","0058c00000BxeO9AAJ","false","TwoColumnGrid","2023-10-31T13:56:27.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","0058c00000BxeO9AAJ","2025-01-15T17:19:19.000Z","Html.Layouts.TwoColumnGrid","42693364340854134","","","","",""
